"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"IGHV5-51",1765.38576549073,5.01701737861374,0.387182834519707,1.22117474899139e-39,1.39739490264331e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"P2RY8",394.879000576678,2.10456087747314,0.162094804392914,1.31247989912579e-39,1.49242997334555e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV3-13",289.189684821787,4.49222016555874,0.443996053235506,2.20536972355437e-39,2.49206778761644e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CRTAM",111.268929994847,2.82978423668802,0.218780832660992,2.28827621417123e-39,2.56969154982706e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV38-2DV8",11.2458143515799,3.94222142858917,0.303209464223187,2.43563271290507e-39,2.71828638576072e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV6-1",15.3980644643765,3.58586421410425,0.276642008188025,2.49113400534688e-39,2.76317195194305e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"STAT4",170.239969736563,2.28427715433628,0.177067280702054,3.10845115154066e-39,3.42687785486922e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAF3IP3",422.486517411755,2.28806412909935,0.177422520416408,3.28875909329117e-39,3.60368269131542e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"AIM2",138.119042524404,2.9629022653844,0.230826762001842,6.54651220294997e-39,7.13017714634551e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IL2RA",207.842264610884,2.58937293582619,0.201647117151156,6.63817429915629e-39,7.18671804363746e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGLC2",10544.2629653343,4.90635625851646,0.383549561899218,1.10354679468458e-38,1.18762655047008e-36,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV11-2",10.3999423694546,3.31203049971965,0.258475444925911,1.36663009130902e-38,1.46205160064302e-36,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
