"gene","n_subtypes","subtypes_list","mean_lfc"
"PTPRT",1,"LumB",-1.5277527829446
"KLHL30",1,"Basal",-1.52643536205892
"PLAAT5",1,"Basal",-1.52493863379613
"WDR72",1,"LumA",-1.52327638561988
"PCDH19",1,"Basal",-1.52319223338123
"PLEKHB1",1,"LumB",-1.52183520576983
"CDH4",1,"Basal",-1.51795874847567
"ADGRB1",1,"Normal",-1.5179514042248
"ITGA11",1,"Basal",-1.51657406811806
"TBC1D9",1,"Her2",-1.51623043133394
"NECAB1",1,"Normal",-1.51512577219115
"ENO2",1,"Basal",-1.51380081780571
"TMEM179",1,"LumA",-1.51303330875441
"TNNC2",1,"Basal",-1.51272054052555
"FLRT2",1,"Basal",-1.51156406403265
"APLN",1,"Basal",-1.50996657858149
"NLGN4X",1,"LumB",-1.50934364728406
"LRIT3",1,"Her2",-1.50719702390658
"ACER2",1,"Her2",-1.50590292943516
"ENTPD8",1,"Basal",-1.50260663335549
"MT1X",1,"Normal",-1.50247774507814
"MRC1",1,"Normal",-1.50009534778864
"MEIS3P2",1,"LumB",-1.49946067111676
"FBLL1",1,"Basal",-1.49940011170592
"RGMB-AS1",1,"Basal",-1.49732508222785
"ZIC2",1,"Her2",-1.49553657696335
"NR1D1",1,"Her2",-1.49399184532041
"CYP26A1",1,"Normal",-1.49210575254748
"SHC2",1,"Basal",-1.49048745058475
"NSG1",1,"Basal",-1.49001003474286
"ITGB6",1,"Her2",-1.48944830977446
"FLRT3",1,"Basal",-1.48890533987888
"AP3B2",1,"Her2",-1.48685919456015
"PTPRD",1,"Basal",-1.48645265785592
"GAMT",1,"Normal",-1.48464925901889
"LY6H",1,"Basal",-1.48349067430462
"LOC101927727",1,"Basal",-1.48275490727245
"KLK5",1,"Basal",-1.48179343014058
"DENND2A",1,"Basal",-1.481106590987
"SAMD11",1,"Basal",-1.47908877179496
"ANO3",1,"Her2",-1.47833450954467
"LONRF2",1,"Normal",-1.47706206526037
"CRYAB",1,"Basal",-1.47463975726665
"MYOZ1",1,"Basal",-1.47375675794642
"LOC102723834",1,"Basal",-1.47275084495549
"PRND",1,"Basal",-1.4689824656591
"SLC25A24P2",1,"LumA",-1.4648868145385
"PHEX",1,"Her2",-1.46456933178003
"GLIS1",1,"Basal",-1.4633343573266
"LINC01844",1,"Basal",-1.45950357149088
"DLX4",1,"Her2",-1.45813978427788
"LOC100652777",1,"Her2",-1.45498032216477
"PLA2G10",1,"Her2",-1.45498032216477
"TPH1",1,"LumB",-1.45328932477732
"RASSF10",1,"LumB",-1.44890873699574
"DSEL",1,"LumB",-1.44689577521988
"LOC93429",1,"Basal",-1.44672341436528
"GNAT2",1,"Her2",-1.44514373210901
"SLC17A7",1,"Basal",-1.44478206172374
"UNC13A",1,"LumA",-1.44431903360361
"CCDC87",1,"Her2",-1.44201552777314
"SERPINA6",1,"LumA",-1.44138858594679
"SRRM3",1,"Basal",-1.43949051477858
"FREM2",1,"LumA",-1.43907349243518
"PPP1R3G",1,"Basal",-1.43219833806535
"TUBB2B",1,"Basal",-1.43219459425426
"LINC02560",1,"Basal",-1.42941623336419
"PYGL",1,"Her2",-1.42827421743286
"MIR210HG",1,"Her2",-1.42796037506783
"SYNDIG1",1,"Basal",-1.42774104031173
"PCP2",1,"Normal",-1.4250920038952
"PRODH",1,"Her2",-1.4249173138502
"HOXC-AS1",1,"Basal",-1.42469938817997
"VSIG2",1,"Basal",-1.42438520778706
"JMJD1C-AS1",1,"Basal",-1.42289974182635
"EPCAM-DT",1,"Normal",-1.42285615273358
"LOC107985882",1,"Normal",-1.42285615273358
"MAT1A",1,"LumA",-1.42067630344072
"DIRAS3",1,"LumB",-1.4206556278935
"SLC26A3",1,"LumA",-1.41902059858896
"SEMA3B",1,"Basal",-1.41881277540875
"FIBCD1",1,"Basal",-1.41869309269487
"ERMN",1,"Her2",-1.41723719257738
"SMYD3-AS1",1,"LumA",-1.41656349365616
"RSPH9",1,"Normal",-1.41499990442342
"LINC02875",1,"Basal",-1.41193728464424
"IRX4",1,"Basal",-1.41188636202788
"PDE5A",1,"LumB",-1.41150167223692
"TMEM178A",1,"Normal",-1.41027681251348
"CST9",1,"LumA",-1.40679073466544
"ABCA4",1,"Basal",-1.40596815646904
"NRXN2",1,"Basal",-1.40479153021955
"NTMT2",1,"Her2",-1.403912218663
"RFLNA",1,"Basal",-1.40219949107532
"ZNF664-RFLNA",1,"Basal",-1.40219949107532
"PCDHB16",1,"Her2",-1.40218923495806
"LINC02614",1,"Basal",-1.40064685993667
"FOXN1",1,"Her2",-1.3998371937305
"CEMIP",1,"Her2",-1.3995279945174
"RPL7AP10",1,"Basal",-1.39943777362929
"PNMA3",1,"Basal",-1.3993435919227
"EFNA2",1,"Basal",-1.39681045957973
"MRAP2",1,"Basal",-1.39631392719172
"LOC105374971",1,"Basal",-1.39192281421432
"GDAP1",1,"LumA",-1.39158580239728
"LOC105371401",1,"Basal",-1.39131036901942
"CDH2",1,"Basal",-1.38711272692247
"PLPPR3",1,"Normal",-1.38649260730585
"LINC03042",1,"LumA",-1.38466061718639
"FILIP1",1,"Basal",-1.38433960138372
"SOAT2",1,"Basal",-1.38253635057844
"JPH2",1,"Basal",-1.38078812860857
"CCDC85A",1,"LumB",-1.37916739258362
"LOC101927377",1,"Basal",-1.37754403749865
"SALL4",1,"Basal",-1.37691814653679
"TMEM108",1,"Basal",-1.37634498275897
"STK32A",1,"Basal",-1.37620049922092
"GPR158",1,"LumA",-1.37601421605199
"LOC101927164",1,"Basal",-1.37581650741086
"BMP8A",1,"Basal",-1.37373604764144
"DACT3",1,"Basal",-1.37342360605164
"HEYL",1,"Basal",-1.37263327502976
"HOXC12",1,"Basal",-1.37182232071012
"ZBTB16",1,"Normal",-1.37042169335117
"ABHD17C",1,"Her2",-1.36993255651388
"MMP11",1,"Basal",-1.36928668246496
"MRPS30-DT",1,"LumA",-1.36882469675182
"CSPG5",1,"Basal",-1.36847997030273
"PHACTR1",1,"Basal",-1.3671173492213
"ART5",1,"Basal",-1.36667599891299
"NUPR2",1,"Basal",-1.36323808584364
"ANKRD36C",1,"Basal",-1.36229549453994
"RPL19",1,"Her2",-1.36007180077169
"SPRED3",1,"Basal",-1.35990871291976
"TTPA",1,"Basal",-1.35982523380564
"ITGA10",1,"Basal",-1.35941175562038
"SLC2A1",1,"Her2",-1.35782804321536
"VTN",1,"LumA",-1.35690356585386
"PYY",1,"Normal",-1.35594746434296
"JAKMIP3",1,"Her2",-1.35588835808594
"BNIP3",1,"Her2",-1.35538034054884
"BCAN",1,"Normal",-1.35519095263544
"C8orf88",1,"Basal",-1.35515800571435
"MMP24",1,"Her2",-1.35510806251738
"LRRC36",1,"LumB",-1.35501224458942
"KIAA1549L",1,"Her2",-1.35445493951451
"NKAIN1",1,"Basal",-1.35401386076775
"FBXL20",1,"Her2",-1.35271098840426
"CSPG4",1,"Basal",-1.35250745281175
"KRT222",1,"LumA",-1.35015143284928
"NKILA",1,"Her2",-1.34868637623446
"PTCHD4",1,"Basal",-1.34833418538191
