"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS",0.39597404317309,0.669452519033641,0.0220929842897235,0.420347538175474,1.05273843684564,62,"APBB1IP,ARRB2,VWF,FGG,CSK,ATG7,KSR1,JAK2,FGB,RAP1B,ZC3HAV1,KDM7A,MAP2K1,SRC,RAF1,RAP1A,KRAS","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY BRAF AND RAF1 FUSIONS",17
"REACTOME_PKR_MEDIATED_SIGNALING",0.400051786639047,0.671515499001258,0.0215769485455648,0.410023803870364,1.04550815534705,71,"STAT1,EIF2AK2,HERC5,ADAR,IKBKG,TUBA1B,UBE2L6,FANCA,CHUK,TUBA1C,EIF2S2,FANCB,SPHK1,PTPN2,TUBB8,NCK1,TUBB6,HSPA8,SNCA,TRIM25","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"PKR MEDIATED SIGNALING",20
"REACTOME_NEGATIVE_REGULATION_OF_FGFR3_SIGNALING",0.41530612244898,0.692176870748299,0.0327222923721584,-0.420806298166899,-1.03625660049057,22,"PPP2R1A,SPRY2,FGF1,RPS27A,FGFR3,FGF2,PPP2CB,FRS2,UBA52","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"NEGATIVE REGULATION OF FGFR3 SIGNALING",9
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",0.425185709232402,0.703652406124045,0.0390407757771305,-0.346406414142121,-1.01373714209894,47,"NEDD4L,ZFYVE9,SMAD4,TGFBR3,UBE2M,SMAD2,TGFB2,RPS27A,ITGB3,TGFBR2,ITGB8,UBA52,LTBP3","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"TGF BETA RECEPTOR SIGNALING ACTIVATES SMADS",13
"REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING",0.43916990920882,0.721712787860648,0.0319630032939332,-0.410200838029621,-1.0221185148037,23,"PPP2R1A,SPRY2,FGF1,FGFR1,RPS27A,FGF2,PPP2CB,FRS2,UBA52","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"NEGATIVE REGULATION OF FGFR1 SIGNALING",9
"REACTOME_SIGNALING_BY_EGFR_IN_CANCER",0.451431629649451,0.736711340052924,0.0320313698146193,-0.396971477955609,-1.00998809291343,25,"AREG,EGFR,PIK3R1,GAB1,HRAS,RPS27A,EREG,UBA52,HSP90AA1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY EGFR IN CANCER",9
"REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS",0.467544559723331,0.757744631275743,0.0195983892032361,0.404383554659039,1.01012719236812,61,"PIK3CD,FYN,GNGT2,ADCY7,PECAM1,GNG2,CDH5,NOS3,CALCRL,ADCY4,PANX1,GNB4,GNG5,PIK3CB,MMP14,P2RY2,TLN1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"HIGH LAMINAR FLOW SHEAR STRESS ACTIVATES SIGNALING BY PIEZO1 AND PECAM1 CDH5 KDR IN ENDOTHELIAL CELLS",17
"REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION",0.489460154241645,0.785951862299273,0.0228204242028808,0.490117925683458,0.999539587272508,18,"PSMB10,PSMB9,PSMB8,PSMA1,PSMA7,PSMA5,PSME1,PSME2,PSMA6,PSMB2","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"ANTIGEN PROCESSING UB ATP INDEPENDENT PROTEASOMAL DEGRADATION",10
"REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS",0.491637973438269,0.785951862299273,0.0288676129314972,-0.413146241099914,-0.982013581365339,19,"CTNND1,CDH1,SH3GL2","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"LISTERIA MONOCYTOGENES ENTRY INTO HOST CELLS",3
"REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R",0.499515033947624,0.793148871470889,0.0337560952568549,-0.345743907964538,-0.971029521607834,39,"IGF1R,IGF2,FGF1,IRS1,FGFR1,PIK3R1,GAB1,IRS2,HRAS,FGFR3,FGF2,FRS2","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R",12
