"feature","feature_clean","method","mean_g1","mean_g2","diff","p_value","group1","group2","higher_in","FDR","significant","bio_type"
"GSVA_Cytokines_inflammatory","Cytokines_inflammatory","GSVA",-0.434483971955104,0.802124255917114,1.23660822787222,0.000110893681158645,"IC1","IC2","IC2",0.000330216739450187,TRUE,"Inflammatory"
"ssGSEA_B_cells","B_cells","ssGSEA",-0.472057257514633,0.871490321565477,1.34354757908011,0.000126273367658825,"IC1","IC2","IC2",0.000360013431197502,TRUE,"B cell/Humoral"
"ssGSEA_Macrophages_M2","Macrophages_M2","ssGSEA",-0.454885864018761,0.839789287419251,1.29467515143801,0.000126273367658825,"IC1","IC2","IC2",0.000360013431197502,TRUE,"Suppressive"
"xCell_CD4+ Tem","CD4+ Tem","xCell",-0.425769544510301,0.786036082172864,1.21180562668317,0.000155126228634713,"IC1","IC2","IC2",0.000433060721605241,TRUE,"Other (xCell)"
"GSVA_HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSVA",-0.422589469462717,0.780165174392708,1.20275464385543,0.000238274109378326,"IC1","IC2","IC2",0.00065160674809583,TRUE,"Inflammatory"
"xCell_Macrophages","Macrophages","xCell",-0.376937230488998,0.695884117825842,1.07282134831484,0.000257300879381859,"IC1","IC2","IC2",0.000689566356743383,TRUE,"Myeloid/APC"
"xCell_CD8+ T-cells","CD8+ T-cells","xCell",-0.441032464747843,0.814213781072941,1.25524624582078,0.000296322599525715,"IC1","IC2","IC2",0.000778573104636192,TRUE,"Cytotoxic/NK"
"ssGSEA_HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","ssGSEA",-0.453677276558201,0.837558049030526,1.29123532558873,0.000305117444099197,"IC1","IC2","IC2",0.000786264182871007,TRUE,"Inflammatory"
"ssGSEA_IFN_alpha_response","IFN_alpha_response","ssGSEA",-0.421382885611692,0.777937634975431,1.19932052058712,0.000344777166217217,"IC1","IC2","IC2",0.000871700759869945,TRUE,"Inflammatory"
"xCell_CD8+ naive T-cells","CD8+ naive T-cells","xCell",-0.388581492576742,0.717381217064754,1.1059627096415,0.000367718939520306,"IC1","IC2","IC2",0.000912487738809647,TRUE,"Cytotoxic/NK"
"EPIC_CD8_Tcells","CD8_Tcells","EPIC",0.244257016731698,-0.450936030889289,-0.695193047620988,0.000389219519232367,"IC1","IC2","IC1",0.000948280283220675,TRUE,"Cytotoxic/NK"
"xCell_aDC","aDC","xCell",-0.430773881108759,0.795274857431556,1.22604873854032,0.00055676779735021,"IC1","IC2","IC2",0.00133226580080229,TRUE,"Myeloid/APC"
"xCell_Class-switched memory B-cells","Class-switched memory B-cells","xCell",-0.456329311301902,0.842454113172743,1.29878342447465,0.000800489866111041,"IC1","IC2","IC2",0.00181806172981152,TRUE,"B cell/Humoral"
"GSVA_Immunosuppression","Immunosuppression","GSVA",-0.411798665117275,0.760243689447277,1.17204235456455,0.00078963664612586,"IC1","IC2","IC2",0.00181806172981152,TRUE,"Suppressive"
"xCell_cDC","cDC","xCell",-0.388375576771081,0.717001064808149,1.10537664157923,0.00078963664612586,"IC1","IC2","IC2",0.00181806172981152,TRUE,"Myeloid/APC"
"GSVA_IFN_alpha_response","IFN_alpha_response","GSVA",-0.401579598665386,0.741377720613021,1.14295731927841,0.000885493194356251,"IC1","IC2","IC2",0.00197760146739563,TRUE,"Inflammatory"
"ssGSEA_Cytokines_inflammatory","Cytokines_inflammatory","ssGSEA",-0.385701025197921,0.712063431134623,1.09776445633254,0.000992043059855007,"IC1","IC2","IC2",0.00217924213148477,TRUE,"Inflammatory"
"xCell_pDC","pDC","xCell",-0.441054386975523,0.814254252877889,1.25530863985341,0.00131496092428229,"IC1","IC2","IC2",0.00284201232022302,TRUE,"Myeloid/APC"
"quanTIseq_Macrophages.M2","Macrophages.M2","quanTIseq",-0.329355614136781,0.608041133790981,0.937396747927762,0.00138705694235091,"IC1","IC2","IC2",0.00295024809960352,TRUE,"Suppressive"
"xCell_Th2 cells","Th2 cells","xCell",-0.314785461018847,0.581142389573257,0.895927850592104,0.00149281841585782,"IC1","IC2","IC2",0.0031255885582023,TRUE,"Other (xCell)"
"quanTIseq_B.cells","B.cells","quanTIseq",-0.374099289065621,0.690644841351916,1.06474413041754,0.00172615792596744,"IC1","IC2","IC2",0.00355854095507135,TRUE,"B cell/Humoral"
"xCell_CD4+ memory T-cells","CD4+ memory T-cells","xCell",-0.292106872882367,0.539274226859754,0.831381099742121,0.00221435079830659,"IC1","IC2","IC2",0.00449580313595579,TRUE,"Pan-immune score"
"xCell_Megakaryocytes","Megakaryocytes","xCell",-0.394292015251254,0.727923720463853,1.12221573571511,0.00237948760637571,"IC1","IC2","IC2",0.00475897521275142,TRUE,"Other (xCell)"
"xCell_CD4+ naive T-cells","CD4+ naive T-cells","xCell",-0.432665614778772,0.798767288822348,1.23143290360112,0.00304821788556386,"IC1","IC2","IC2",0.00600678230390525,TRUE,"Pan-immune score"
"xCell_Macrophages M2","Macrophages M2","xCell",-0.35503472041805,0.655448714617939,1.01048343503599,0.00325240582910826,"IC1","IC2","IC2",0.00631626639276097,TRUE,"Suppressive"
"MCP_B lineage","B lineage","MCP",-0.374947869995417,0.692211452299231,1.06715932229465,0.0044081496956529,"IC1","IC2","IC2",0.00843845798882127,TRUE,"B cell/Humoral"
"MCP_NK cells","NK cells","MCP",-0.155319347453214,0.286743410682857,0.442062758136072,0.0053735123375463,"IC1","IC2","IC2",0.0100007035171001,TRUE,"Cytotoxic/NK"
"EPIC_Macrophages","Macrophages","EPIC",0.0259237098936796,-0.047859156726793,-0.0737828666204725,0.0053735123375463,"IC1","IC2","IC1",0.0100007035171001,TRUE,"Myeloid/APC"
"xCell_Tregs","Tregs","xCell",-0.304145803386194,0.561499944712974,0.865645748099169,0.00828405180869381,"IC1","IC2","IC2",0.0152063416762325,TRUE,"Suppressive"
"xCell_StromaScore","StromaScore","xCell",-0.27491693049868,0.507538948612948,0.782455879111629,0.00951813942862694,"IC1","IC2","IC2",0.0172355497761623,TRUE,"Pan-immune score"
"EPIC_Bcells","Bcells","EPIC",-0.377222405468039,0.696410594710225,1.07363300017826,0.0114312459587602,"IC1","IC2","IC2",0.0204238261129849,TRUE,"B cell/Humoral"
"xCell_Memory B-cells","Memory B-cells","xCell",-0.345425006844348,0.637707704943412,0.983132711787761,0.0117263887091288,"IC1","IC2","IC2",0.0206754748292534,TRUE,"B cell/Humoral"
"EPIC_Endothelial","Endothelial","EPIC",-0.316257110083628,0.583859280154391,0.900116390238019,0.0136782668396459,"IC1","IC2","IC2",0.0238037370975655,TRUE,"Stromal"
"xCell_Neurons","Neurons","xCell",0.19952744518248,-0.368358360336886,-0.567885805519365,0.0149416932334277,"IC1","IC2","IC1",0.0256690627343501,TRUE,"Other (xCell)"
"EPIC_otherCells","otherCells","EPIC",0.280319437110187,-0.517512806972652,-0.797832244082839,0.016306823708509,"IC1","IC2","IC1",0.0273139297117525,TRUE,"Other (EPIC)"
"quanTIseq_Macrophages.M1","Macrophages.M1","quanTIseq",-0.141829343155168,0.261838787363387,0.403668130518555,0.0162434137223904,"IC1","IC2","IC2",0.0273139297117525,TRUE,"Myeloid/APC"
"xCell_Osteoblast","Osteoblast","xCell",0.260770100558635,-0.481421724108249,-0.742191824666884,0.0182320082651679,"IC1","IC2","IC1",0.0301615939201543,TRUE,"Other (xCell)"
"quanTIseq_T.cells.CD4","T.cells.CD4","quanTIseq",-0.37976037159658,0.701096070639841,1.08085644223642,0.0205382564468412,"IC1","IC2","IC2",0.0335625166326429,TRUE,"Other (quanTIseq)"
"xCell_Monocytes","Monocytes","xCell",-0.309979335179353,0.572269541869575,0.882248877048928,0.0211592786745082,"IC1","IC2","IC2",0.0341607631612541,TRUE,"Myeloid/APC"
"xCell_Smooth muscle","Smooth muscle","xCell",0.332253500449726,-0.61339107775334,-0.945644578203065,0.0216019235374086,"IC1","IC2","IC1",0.0344602113572947,TRUE,"Stromal"
"quanTIseq_Dendritic.cells","Dendritic.cells","quanTIseq",0.248179900591677,-0.458178278015403,-0.70635817860708,0.0255466101884546,"IC1","IC2","IC1",0.0402734795912107,TRUE,"Myeloid/APC"
"xCell_Th1 cells","Th1 cells","xCell",0.247278886620985,-0.456514867607972,-0.703793754228957,0.0397547212087853,"IC1","IC2","IC1",0.0619434028136887,FALSE,"Other (xCell)"
"xCell_naive B-cells","naive B-cells","xCell",-0.309574104720181,0.571521424098795,0.881095528818976,0.0426437708090491,"IC1","IC2","IC2",0.0656812102116388,FALSE,"B cell/Humoral"
"xCell_Fibroblasts","Fibroblasts","xCell",-0.239293041827206,0.44177176952715,0.681064811354357,0.0433498043905115,"IC1","IC2","IC2",0.0660099294128243,FALSE,"Stromal"
"xCell_mv Endothelial cells","mv Endothelial cells","xCell",-0.273425696891853,0.50478590195419,0.778211598846043,0.0503973806344191,"IC1","IC2","IC2",0.0750361000556906,FALSE,"Stromal"
"xCell_Adipocytes","Adipocytes","xCell",-0.206364181364486,0.380980027134436,0.587344208498922,0.0503428039764346,"IC1","IC2","IC2",0.0750361000556906,FALSE,"Other (xCell)"
"MCP_Endothelial cells","Endothelial cells","MCP",-0.275079957606206,0.507839921734535,0.782919879340741,0.0627254066919078,"IC1","IC2","IC2",0.0923648845792929,FALSE,"Stromal"
"xCell_Endothelial cells","Endothelial cells","xCell",-0.25201499184656,0.465258446485957,0.717273438332517,0.0829400907760415,"IC1","IC2","IC2",0.119505077032146,FALSE,"Stromal"
"xCell_Keratinocytes","Keratinocytes","xCell",0.178047073757589,-0.32870229001401,-0.506749363771599,0.0829400907760415,"IC1","IC2","IC1",0.119505077032146,FALSE,"Other (xCell)"
